R,X,Y,x_roon,y_roon,x_pt,y_pt
49,5,4,"7,40028","32,3108","12,40028","36,3108"
49,7,1,"7,40028","32,3108","14,40028","33,3108"
49,7,3,"7,40028","32,3108","14,40028","35,3108"
49,7,4,"7,40028","32,3108","14,40028","36,3108"
51,1,1,"37,3538","46,8745","38,3538","47,8745"
51,1,3,"37,3538","46,8745","38,3538","49,8745"
51,1,5,"37,3538","46,8745","38,3538","51,8745"
51,1,7,"37,3538","46,8745","38,3538","53,8745"
51,3,1,"37,3538","46,8745","40,3538","47,8745"
51,3,3,"37,3538","46,8745","40,3538","49,8745"
51,3,5,"37,3538","46,8745","40,3538","51,8745"
51,3,7,"37,3538","46,8745","40,3538","53,8745"
51,5,1,"37,3538","46,8745","42,3538","47,8745"
51,5,3,"37,3538","46,8745","42,3538","49,8745"
51,5,5,"37,3538","46,8745","42,3538","51,8745"
51,5,7,"37,3538","46,8745","42,3538","53,8745"
53,1,1,"21,2809","55,4183","22,2809","56,4183"
53,1,3,"21,2809","55,4183","22,2809","58,4183"
53,1,5,"21,2809","55,4183","22,2809","60,4183"
53,3,1,"21,2809","55,4183","24,2809","56,4183"
53,3,3,"21,2809","55,4183","24,2809","58,4183"
53,3,5,"21,2809","55,4183","24,2809","60,4183"
53,5,1,"21,2809","55,4183","26,2809","56,4183"
53,5,3,"21,2809","55,4183","26,2809","58,4183"
53,5,5,"21,2809","55,4183","26,2809","60,4183"
53,7,1,"21,2809","55,4183","28,2809","56,4183"
53,7,3,"21,2809","55,4183","28,2809","58,4183"
53,7,5,"21,2809","55,4183","28,2809","60,4183"
57,1,1,"5,91008","54,967","6,91008","55,967"
57,1,3,"5,91008","54,967","6,91008","57,967"
57,1,5,"5,91008","54,967","6,91008","59,967"
57,1,6,"5,91008","54,967","6,91008","60,967"
57,2,1,"5,91008","54,967","7,91008","55,967"
57,2,3,"5,91008","54,967","7,91008","57,967"
57,2,5,"5,91008","54,967","7,91008","59,967"
57,2,6,"5,91008","54,967","7,91008","60,967"
61,10,1,"5,91008","53,3148","15,91008","54,3148"
61,12,1,"5,91008","53,3148","17,91008","54,3148"
61,14,1,"5,91008","53,3148","19,91008","54,3148"
61,2,1,"5,91008","53,3148","7,91008","54,3148"
61,4,1,"5,91008","53,3148","9,91008","54,3148"
61,6,1,"5,91008","53,3148","11,91008","54,3148"
61,8,1,"5,91008","53,3148","13,91008","54,3148"
62,11,1,"21,2562","53,317","32,2562","54,317"
62,13,1,"21,2562","53,317","34,2562","54,317"
62,15,1,"21,2562","53,317","36,2562","54,317"
62,1,1,"21,2562","53,317","22,2562","54,317"
62,3,1,"21,2562","53,317","24,2562","54,317"
62,5,1,"21,2562","53,317","26,2562","54,317"
62,7,1,"21,2562","53,317","28,2562","54,317"
62,9,1,"21,2562","53,317","30,2562","54,317"
63,1,1,"7,40028","37,4796","8,40028","38,4796"
63,1,3,"7,40028","37,4796","8,40028","40,4796"
63,1,5,"7,40028","37,4796","8,40028","42,4796"
63,1,7,"7,40028","37,4796","8,40028","44,4796"
63,2,1,"7,40028","37,4796","9,40028","38,4796"
63,2,3,"7,40028","37,4796","9,40028","40,4796"
63,2,5,"7,40028","37,4796","9,40028","42,4796"
63,2,7,"7,40028","37,4796","9,40028","44,4796"
63,4,11,"7,40028","37,4796","11,40028","48,4796"
63,4,13,"7,40028","37,4796","11,40028","50,4796"
63,4,15,"7,40028","37,4796","11,40028","52,4796"
63,4,5,"7,40028","37,4796","11,40028","42,4796"
63,4,7,"7,40028","37,4796","11,40028","44,4796"
63,4,9,"7,40028","37,4796","11,40028","46,4796"
63,5,11,"7,40028","37,4796","12,40028","48,4796"
63,5,13,"7,40028","37,4796","12,40028","50,4796"
63,5,15,"7,40028","37,4796","12,40028","52,4796"
63,5,5,"7,40028","37,4796","12,40028","42,4796"
63,5,7,"7,40028","37,4796","12,40028","44,4796"
63,5,9,"7,40028","37,4796","12,40028","46,4796"
